Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Strategic Demolition,00-083,ILTR-00174,08-24-2012,10-04-2012,10-04-2012,10-08-2012,10-08-2012,10-08-2012,10-09-2012,10-09-2012,10-09-2012,10-10-2012,11-21-2012,11-23-2012,11-27-2012,OCD,"DRC Emergency Services, LLC",12 Paid,5078
VAMC Land Acquisition & Relocation - Relocation,00-554,ILTR-00122,09-28-2012,09-28-2012,09-28-2012,10-08-2012,10-08-2012,10-09-2012,10-10-2012,10-10-2012,10-10-2012,10-12-2012,11-09-2012,11-13-2012,11-15-2012,OCD,329 S. Miro St (Carl Tate),12 Paid,5079
Street Light Repairs,00-027,ILTR-00260,09-28-2012,10-09-2012,10-18-2012,10-18-2012,10-31-2012,11-05-2012,11-05-2012,11-06-2012,11-06-2012,11-07-2012,12-10-2012,12-11-2012,12-17-2012,DPW,Allstar Electric Incorporated,12 Paid,5080
Street Light Repairs,00-028,ILTR-00260,10-08-2012,10-09-2012,10-09-2012,10-09-2012,10-31-2012,11-05-2012,11-05-2012,11-06-2012,11-06-2012,11-07-2012,12-14-2012,12-17-2012,12-20-2012,DPW,Allstar Electric Incorporated,12 Paid,5081
Napoleon/Broad and Fountainbleau Intersection Plan,00-008,ILTR-00139,08-08-2012,10-10-2012,11-29-2012,11-29-2012,12-14-2012,12-19-2012,12-20-2012,12-20-2012,12-20-2012,12-20-2012,01-10-2013,01-11-2013,01-17-2013,DPW,"Urban Systems, Inc.",12 Paid,5082
Carrollton Avenue Streetscape,00-005,ILTR-00019,06-08-2012,10-10-2012,10-10-2012,10-10-2012,10-26-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-27-2012,DPW,"Urban Systems, Inc.",12 Paid,5083
Carrollton Avenue Streetscape,00-006,ILTR-00019,07-09-2012,10-10-2012,10-10-2012,10-10-2012,11-09-2012,11-13-2012,11-14-2012,11-14-2012,11-14-2012,11-14-2012,11-30-2012,12-03-2012,12-04-2012,DPW,"Urban Systems, Inc.",12 Paid,5084
Freret Streetscape,00-009,ILTR-00009,11-30-2011,10-10-2012,10-16-2012,10-16-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-17-2012,DPW,"Kenall, Inc.",12 Paid,5085
City Park Festival & Recreation Complex,00-029,ILTR-00051,10-03-2012,10-03-2012,10-11-2012,10-11-2012,10-11-2012,10-12-2012,10-12-2012,10-15-2012,10-15-2012,10-15-2012,10-25-2012,10-26-2012,10-30-2012,CPA,City Park Improvement Association,12 Paid,5092
Methodist Hospital Acquisition,00-060,ILTR-00167,07-02-2012,10-10-2012,10-10-2012,10-16-2012,10-16-2012,10-17-2012,10-17-2012,10-17-2012,10-17-2012,10-19-2012,10-25-2012,10-26-2012,10-30-2012,OCD,FHA 242 HUD App. Process,12 Paid,5093
Methodist Hospital Acquisition,00-061,ILTR-00167,09-11-2012,10-12-2012,10-12-2012,10-15-2012,10-15-2012,10-17-2012,10-17-2012,10-17-2012,10-17-2012,10-19-2012,10-25-2012,10-26-2012,09-26-2012,OCD,Healthcare Planning,12 Paid,5094
Methodist Hospital Acquisition,00-062,ILTR-00167,10-01-2012,10-15-2012,10-15-2012,10-15-2012,10-15-2012,10-17-2012,10-17-2012,10-17-2012,10-17-2012,10-19-2012,10-25-2012,10-26-2012,10-29-2012,OCD,FHA 242 HUD App. Process,12 Paid,5095
Methodist Hospital Acquisition,00-063,ILTR-00167,07-12-2012,10-15-2012,10-15-2012,10-15-2012,10-16-2012,10-17-2012,10-17-2012,10-17-2012,10-17-2012,10-19-2012,10-25-2012,10-26-2012,10-30-2012,OCD,Environmental Remediation,12 Paid,5096
VAMC Land Acquisition & Relocation - Acquisition,00-555,ILTR-00122,01-31-2012,10-03-2012,10-03-2012,10-15-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-26-2012,10-29-2012,11-02-2012,OCD,Roedel Parsons Koch Blache Balhoff & McCollister,12 Paid,5097
VAMC Land Acquisition & Relocation - Acquisition,00-555,ILTR-00122,02-29-2012,10-03-2012,10-03-2012,10-15-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-26-2012,10-29-2012,11-02-2012,OCD,Roedel Parsons Koch Blache Balhoff & McCollister,12 Paid,5098
VAMC Land Acquisition & Relocation - Acquisition,00-555,ILTR-00122,03-31-2012,10-03-2012,10-03-2012,10-15-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-26-2012,10-29-2012,11-02-2012,OCD,Roedel Parsons Koch Blache Balhoff & McCollister,12 Paid,5099
Methodist Hospital Acquisition,00-064,ILTR-00167,03-31-2012,10-15-2012,10-15-2012,10-16-2012,10-16-2012,10-17-2012,10-17-2012,10-17-2012,10-17-2012,10-19-2012,10-25-2012,10-26-2012,10-30-2012,OCD,Health Care Legal Counsel,12 Paid,5100
Methodist Hospital Acquisition,00-064,ILTR-00167,04-30-2012,10-15-2012,10-15-2012,10-16-2012,10-16-2012,10-17-2012,10-17-2012,10-17-2012,10-17-2012,10-19-2012,10-25-2012,10-26-2012,10-30-2012,OCD,Health Care Legal Counsel,12 Paid,5101
Harrison Avenue Streetscape,00-005,ILTR-00010,09-14-2012,10-16-2012,10-23-2012,10-23-2012,12-13-2012,12-14-2012,12-14-2012,12-17-2012,12-17-2012,12-17-2012,01-15-2013,01-16-2013,01-18-2013,DPW,"Torre Design Consortium, Ltd",12 Paid,5102
New Orleans East Regional Library,00-038,ILTR-00133,07-17-2012,10-16-2012,10-16-2012,10-16-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,11-01-2012,11-02-2012,11-06-2012,CPA,"Library Interiors, Inc.",12 Paid,5104
Reinventing the Crescent: Downriver Park,00-067,ILTR-00039,10-04-2012,10-16-2012,10-16-2012,10-16-2012,10-18-2012,10-23-2012,10-23-2012,10-23-2012,10-23-2012,10-23-2012,11-09-2012,11-13-2012,11-15-2012,DPW,"Landis Construction Company, LLC",12 Paid,5105
Reinventing the Crescent: Downriver Park,00-067,ILTR-00039,10-04-2012,10-16-2012,10-16-2012,10-16-2012,10-18-2012,10-23-2012,10-23-2012,10-23-2012,10-23-2012,10-23-2012,11-09-2012,11-13-2012,11-15-2012,DPW,"Landis Construction Company, LLC",12 Paid,5106
Strategic Demolition,00-084,ILTR-00174,10-08-2012,10-09-2012,10-09-2012,10-17-2012,10-17-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,11-01-2012,11-02-2012,10-18-2012,OCD,"ATCO Services, LLC (Temporary Staffing)",12 Paid,5107
Methodist Hospital Acquisition,00-065,ILTR-00167,07-31-2012,10-16-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-24-2012,11-01-2012,11-02-2012,11-06-2012,OCD,Health Care Legal Counsel,12 Paid,5108
Methodist Hospital Acquisition,00-065,ILTR-00167,06-30-2012,10-16-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-24-2012,11-01-2012,11-02-2012,11-06-2012,OCD,Health Care Legal Counsel,12 Paid,5109
VAMC Land Acquisition & Relocation - Public Facilities,00-572,ILTR-00122,10-05-2012,10-05-2012,10-11-2012,10-11-2012,12-03-2012,12-04-2012,12-05-2012,12-05-2012,12-05-2012,12-10-2012,12-20-2012,12-21-2012,12-27-2012,DPW,N.Y. Associates,12 Paid,5110
Methodist Hospital Acquisition,00-066,ILTR-00167,05-31-2012,10-16-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-24-2012,11-01-2012,11-02-2012,11-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5111
Methodist Hospital Acquisition,00-066,ILTR-00167,06-30-2012,10-16-2012,10-16-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-24-2012,11-01-2012,11-02-2012,11-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5112
Strategic Demolition,00-085,ILTR-00174,10-15-2012,10-15-2012,10-15-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-19-2012,10-19-2012,10-24-2012,11-09-2012,11-13-2012,10-18-2012,OCD,"ATCO Services, LLC (Temporary Staffing)",12 Paid,5113
New Orleans East Streetscape Improvements,00-019,ILTR-00047,11-19-2012,11-28-2012,11-28-2012,11-28-2012,01-03-2013,01-04-2013,01-07-2013,01-07-2013,01-07-2013,01-08-2013,01-24-2013,01-25-2013,01-29-2013,DPW,"Command Construction Industries, L.L.C.",12 Paid,5114
New Orleans East Streetscape Improvements,00-020,ILTR-00047,11-20-2012,11-28-2012,11-28-2012,11-28-2012,01-03-2013,01-04-2013,01-07-2013,01-08-2013,01-08-2013,01-08-2013,02-21-2013,02-22-2013,02-27-2013,DPW,"Command Construction Industries, L.L.C.",12 Paid,5115
New Orleans East Streetscape Improvements,00-016,ILTR-00047,09-13-2012,10-31-2012,10-31-2012,10-31-2012,01-03-2013,01-04-2013,01-07-2013,01-07-2013,01-07-2013,01-08-2013,01-24-2013,01-25-2013,01-29-2013,DPW,Phoenix Global Eng. & Construction Inc.,12 Paid,5117
S. Claiborne Streetscapes,00-014,ILTR-00024,12-26-2012,09-20-2012,11-01-2012,11-01-2012,01-04-2013,01-04-2013,01-07-2013,01-07-2013,01-07-2013,01-08-2013,01-24-2013,01-25-2013,01-30-2013,DPW,"F.H. Paschen, S.N. Nielson & Associates, LLC",12 Paid,5118
Program Administrative Costs,00-069,ILTR-00046,08-31-2012,10-18-2012,10-18-2012,10-22-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-17-2012,OCD,Hagerty Consulting,12 Paid,5119
Program Administrative Costs,00-070,ILTR-00046,09-10-2012,10-18-2012,10-18-2012,10-22-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-17-2012,OCD,Hagerty Consulting,12 Paid,5120
Methodist Hospital Acquisition,00-067,ILTR-00167,08-13-2012,10-09-2012,10-09-2012,10-22-2012,10-23-2012,10-25-2012,10-25-2012,10-26-2012,10-26-2012,11-02-2012,01-04-2013,01-07-2013,01-07-2013,OCD,Urgent Care Facility Budget,12 Paid,5121
Program Management & Monitoring,00-050,ILTR-00238,10-12-2012,10-16-2012,10-16-2012,10-23-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,Environ International Corp.,12 Paid,5122
Program Management & Monitoring,00-050,ILTR-00238,10-12-2012,10-16-2012,10-16-2012,10-23-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,Environ International Corp.,12 Paid,5123
Program Management & Monitoring,00-050,ILTR-00238,10-12-2012,10-16-2012,10-16-2012,10-23-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,Environ International Corp.,12 Paid,5124
Program Management & Monitoring,00-050,ILTR-00238,10-12-2012,10-16-2012,10-16-2012,10-23-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,Environ International Corp.,12 Paid,5125
VAMC Land Acquisition & Relocation - Relocation,00-556,ILTR-00122,10-11-2012,10-11-2012,10-11-2012,10-23-2012,10-23-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,2231 Banks St (Carl Tate),12 Paid,5126
VAMC Land Acquisition & Relocation - Relocation,00-557,ILTR-00122,10-11-2012,10-11-2012,10-11-2012,10-23-2012,10-24-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,"228-230 S. Miro St. (Nora Two, LLC)",12 Paid,5127
VAMC Land Acquisition & Relocation - Relocation,00-558,ILTR-00122,10-11-2012,10-11-2012,10-11-2012,10-23-2012,10-24-2012,10-25-2012,10-25-2012,10-25-2012,10-25-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,"2300 Palmyra St. (2300 Palmyra Street, LLC)",12 Paid,5128
VAMC Land Acquisition & Relocation - Relocation,00-559,ILTR-00122,10-11-2012,10-11-2012,10-11-2012,10-23-2012,10-24-2012,10-26-2012,10-26-2012,10-26-2012,10-26-2012,10-26-2012,11-09-2012,11-13-2012,11-15-2012,OCD,"2338 Palmyra St./310 S. Tonti St. (2338 Palmyra St., LLC)",12 Paid,5129
VAMC Land Acquisition & Relocation - Relocation,00-560,ILTR-00122,10-11-2012,10-11-2012,10-11-2012,10-23-2012,10-24-2012,10-26-2012,10-26-2012,10-26-2012,10-26-2012,10-29-2012,11-09-2012,11-13-2012,11-15-2012,OCD,"2231 Banks Street (Tate Services, Inc.)",12 Paid,5130
VAMC Land Acquisition & Relocation - Relocation,00-561,ILTR-00122,10-11-2012,10-11-2012,10-11-2012,10-23-2012,10-24-2012,10-26-2012,10-26-2012,10-26-2012,10-26-2012,10-29-2012,11-09-2012,11-13-2012,11-15-2012,OCD,217 S. Tonti St. (Wallace J. Thurman Sr.),12 Paid,5131
S. Claiborne Streetscapes,00-010,ILTR-00024,08-16-2012,10-23-2012,10-19-2012,10-25-2012,10-26-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-27-2012,DPW,"All South Consulting Engineers, L.L.C.",12 Paid,5132
New Orleans East Streetscape Improvements,00-012,ILTR-00047,05-31-2012,10-18-2012,10-18-2012,10-22-2012,12-14-2012,12-17-2012,12-20-2012,12-20-2012,12-20-2012,12-20-2012,01-10-2013,01-11-2013,01-22-2013,DPW,Southern Earth Sciences Inc.,12 Paid,5133
New Orleans East Streetscape Improvements,00-013,ILTR-00047,07-31-2012,10-18-2012,10-22-2012,10-22-2012,12-14-2012,12-17-2012,12-20-2012,12-20-2012,12-20-2012,12-20-2012,01-10-2013,01-11-2013,01-22-2013,DPW,Southern Earth Sciences Inc.,12 Paid,5134
New Orleans East Streetscape Improvements,00-014,ILTR-00047,07-31-2012,10-18-2012,10-18-2012,10-22-2012,12-14-2012,12-17-2012,12-20-2012,12-20-2012,12-20-2012,12-20-2012,01-10-2013,01-11-2013,01-22-2013,DPW,Southern Earth Sciences Inc.,12 Paid,5135
Strategic Demolition,00-086,ILTR-00174,10-22-2012,10-23-2012,10-23-2012,10-25-2012,10-26-2012,10-29-2012,10-29-2012,10-29-2012,10-29-2012,10-30-2012,11-15-2012,11-16-2012,10-29-2012,OCD,"ATCO Services, LLC (Temporary Staffing)",12 Paid,5136
Methodist Hospital Acquisition,00-068,ILTR-00167,05-31-2012,10-23-2012,10-23-2012,10-25-2012,10-26-2012,10-29-2012,10-29-2012,10-29-2012,10-29-2012,11-02-2012,11-15-2012,11-16-2012,11-19-2012,OCD,Health Care Legal Counsel,12 Paid,5137
Methodist Hospital Acquisition,00-069,ILTR-00167,05-31-2012,10-24-2012,10-27-2012,10-26-2012,10-26-2012,10-29-2012,10-30-2012,10-30-2012,10-30-2012,11-02-2012,11-15-2012,11-16-2012,11-19-2012,OCD,Health Care Legal Counsel,12 Paid,5138
Methodist Hospital Acquisition,00-070,ILTR-00167,07-12-2012,10-25-2012,10-25-2012,10-26-2012,10-29-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-07-2012,11-15-2012,11-16-2012,11-19-2012,OCD,Health Care Legal Counsel,12 Paid,5139
Lower 9th Ward Streetscapes,00-022,ILTR-00012,09-30-2012,10-22-2012,10-22-2012,10-22-2012,12-12-2012,12-14-2012,12-14-2012,12-17-2012,12-17-2012,12-17-2012,01-10-2013,01-11-2013,01-17-2013,DPW,"Neel-Shaffer, Inc",12 Paid,5140
N. Claiborne Streetscapes,00-006,ILTR-00058,10-01-2012,10-18-2012,10-18-2012,10-18-2012,11-08-2012,11-15-2012,11-16-2012,11-16-2012,11-16-2012,11-19-2012,12-10-2012,12-11-2012,12-13-2012,DPW,"Buchart Horn, Inc",12 Paid,5141
Tulane Av./Jefferson Davis Streetscape,00-008,ILTR-00026,10-01-2012,10-22-2012,10-22-2012,10-22-2012,11-08-2012,11-13-2012,11-14-2012,11-14-2012,11-14-2012,11-14-2012,11-30-2012,12-03-2012,12-06-2012,DPW,"Buchart Horn, Inc",12 Paid,5143
Tulane Av./Jefferson Davis Streetscape,00-007,ILTR-00026,08-08-2012,10-18-2012,10-18-2012,10-22-2012,11-08-2012,11-13-2012,11-14-2012,11-14-2012,11-14-2012,11-14-2012,11-30-2012,12-03-2012,12-27-2012,DPW,"Buchart Horn, Inc",12 Paid,5144
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,5145
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Hospitalization (BCCPY),12 Paid,5146
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Workmen's Compensation (WCCPY),12 Paid,5147
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Life Insurance (LICPY),12 Paid,5148
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Unemployment Insurance (UCCPY),12 Paid,5149
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Policy Analyst-B,12 Paid,5150
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Attorney III (#1),12 Paid,5151
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Recovery Finance Deputy Director,12 Paid,5152
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Placed Based Planner,12 Paid,5153
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Program Assistant/UPS III - B,12 Paid,5154
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Administrative Assistant,12 Paid,5155
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Accountant I (#3),12 Paid,5156
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Accountant I (#1),12 Paid,5157
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Auditor I,12 Paid,5158
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Attorney III (#2-A),12 Paid,5159
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Chief of Staff - A,12 Paid,5160
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Accountant I (#2),12 Paid,5161
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Blackberries/Communication (admin),12 Paid,5162
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Computers & Software (admin),12 Paid,5163
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Computers & Software (admin),12 Paid,5164
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Computers & Software (admin),12 Paid,5165
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Computers & Software (admin),12 Paid,5166
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Miscellaneous,12 Paid,5167
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Miscellaneous,12 Paid,5168
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Miscellaneous,12 Paid,5169
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Miscellaneous,12 Paid,5170
Program Administrative Costs,00-071,ILTR-00046,07-23-2012,07-23-2012,09-24-2012,10-29-2012,11-07-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,01-23-2013,01-24-2013,01-24-2013,OCD,Public Notices,12 Paid,5171
City Planning Commission Staffing,00-037,ILTR-00048,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Development Specialist #3,12 Paid,5172
City Planning Commission Staffing,00-037,ILTR-00048,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,5173
City Planning Commission Staffing,00-037,ILTR-00048,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Hospitalization (BCCPY),12 Paid,5174
City Planning Commission Staffing,00-037,ILTR-00048,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Workmen's Compensation (WCCPY),12 Paid,5175
City Planning Commission Staffing,00-037,ILTR-00048,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Life Insurance (LICPY),12 Paid,5176
City Planning Commission Staffing,00-037,ILTR-00048,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Unemployment Insurance (UCCPY),12 Paid,5177
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Attorney II,12 Paid,5178
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Program Specialist,12 Paid,5179
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Sr. Attorney,12 Paid,5180
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,5181
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Hospitalization (BCCPY),12 Paid,5182
