Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-22-2014,06-16-2015,06-16-2015,06-24-2015,06-25-2015,06-25-2015,06-25-2015,07-06-2015,07-06-2015,17526,"$16,453.15"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-29-2015,06-08-2015,06-16-2015,06-18-2015,06-22-2015,06-25-2015,06-25-2015,07-01-2015,07-01-2015,17603,"$24,798.32"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Stratum Engineering, LLC",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-21-2015,05-31-2015,06-16-2015,06-18-2015,06-22-2015,06-22-2015,06-22-2015,06-30-2015,06-30-2015,17604,$704.7
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-31-2015,06-10-2015,06-16-2015,06-17-2015,07-02-2015,07-06-2015,07-06-2015,07-06-2015,07-06-2015,17605,"$20,426.29"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-31-2015,06-10-2015,06-16-2015,06-17-2015,07-02-2015,07-06-2015,07-06-2015,07-06-2015,07-06-2015,17607,"$72,169.11"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-31-2015,06-10-2015,06-16-2015,06-17-2015,07-02-2015,07-02-2015,07-02-2015,07-06-2015,07-06-2015,17608,"$45,021.5"
Cartier Ave  (Mirabeau Ave - Filmore Ave),ILSI,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-25-2015,05-04-2015,06-15-2015,06-15-2015,06-22-2015,06-22-2015,06-22-2015,06-30-2015,06-30-2015,17584,"$14,889.41"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-20-2015,06-10-2015,06-15-2015,06-24-2015,06-30-2015,06-30-2015,06-30-2015,07-15-2015,07-15-2015,17590,"$3,162.97"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-28-2015,06-10-2015,06-15-2015,06-24-2015,06-30-2015,06-30-2015,06-30-2015,07-15-2015,07-15-2015,17591,$682.59
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-20-2015,06-10-2015,06-15-2015,06-24-2015,06-30-2015,06-30-2015,06-30-2015,07-15-2015,07-15-2015,17592,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-19-2015,06-10-2015,06-15-2015,06-24-2015,06-30-2015,06-30-2015,06-30-2015,07-15-2015,07-15-2015,17593,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-02-2015,06-10-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17594,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-14-2015,06-10-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17595,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-04-2015,06-10-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17596,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-26-2015,06-10-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17597,"$4,235.2"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-25-2015,06-10-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17598,"$6,143.31"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-25-2015,06-10-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17599,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-18-2015,06-10-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17600,"$1,588.2"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-05-2015,06-15-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17601,"$4,183.86"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-01-2015,06-15-2015,06-15-2015,06-24-2015,07-01-2015,07-01-2015,07-01-2015,07-15-2015,07-15-2015,17602,"$8,607.1"
N. Galvez St (Tennessee St  - Delery St),Direct Mail Plus,Other,yes,City Only,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,06-02-2015,06-02-2015,06-15-2015,,,,,,,17671,$0
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-05-2015,06-11-2012,06-12-2015,06-16-2015,07-29-2015,08-11-2015,08-11-2015,08-26-2015,08-26-2015,17579,"$19,237.5"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-05-2015,06-11-2015,06-12-2015,06-16-2015,07-29-2015,08-04-2015,08-04-2015,08-07-2015,08-07-2015,17582,"$272,878.94"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-20-2015,06-10-2015,06-11-2015,06-12-2015,06-24-2015,06-25-2015,06-25-2015,07-01-2015,07-01-2015,17574,$760
Huntlee Dr. (General  DeGaulle - Berkley Dr),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-28-2015,05-28-2015,06-10-2015,06-10-2015,06-12-2015,06-12-2015,06-12-2015,06-24-2015,06-24-2015,17435,"$8,482.25"
Cherokee St Phase II,Professional Engineering Consultants Corp.,Supervision,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-30-2015,06-02-2015,06-10-2015,06-10-2015,06-16-2015,06-18-2015,06-16-2015,06-24-2015,06-24-2015,17556,"$7,985.64"
"Berkley Dr (Kabel Dr - Huntlee Dr), Somerset Dr (Berkley Dr - MacArthur Blvd)",Julien Engineering & Consulting,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-31-2015,06-02-2015,06-10-2015,06-10-2015,06-12-2015,06-12-2015,06-12-2015,06-26-2015,06-26-2015,17557,"$65,742.39"
"Berkley Dr (Kabel Dr - Huntlee Dr), Somerset Dr (Berkley Dr - MacArthur Blvd)",Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,06-08-2015,06-10-2015,06-10-2015,06-18-2015,06-25-2015,06-25-2015,06-26-2015,06-26-2015,17559,"$231,528.3"
Huntlee Dr. (General  DeGaulle - Berkley Dr),Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,06-04-2015,06-10-2015,06-10-2015,06-29-2015,06-30-2015,06-30-2015,07-01-2015,07-01-2015,17560,"$57,973.75"
Cherokee St (Hampson St - Freret St),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,06-03-2015,06-10-2015,06-11-2015,06-29-2015,06-30-2015,06-30-2015,07-01-2015,07-01-2015,17564,"$71,520.05"
Cherokee St (Hampson St - Freret St),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2015,06-05-2015,06-10-2015,06-10-2015,06-19-2015,06-22-2015,06-22-2015,06-30-2015,06-30-2015,17569,"$245,579.81"
Cartier Ave  (Mirabeau Ave - Filmore Ave),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-21-2015,05-28-2015,06-09-2015,06-10-2015,06-11-2015,06-15-2015,06-15-2015,06-24-2015,06-24-2015,17554,"$1,199"
Magnolia Converted Ped Bridge,"Volkert, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-29-2015,06-02-2015,06-09-2015,06-10-2015,06-10-2015,06-15-2015,06-15-2015,06-18-2015,06-18-2015,17555,"$3,762"
New Orleans Museum District Enhancement,Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-31-2015,06-04-2015,06-09-2015,06-11-2015,06-12-2015,06-12-2015,06-12-2015,06-24-2015,06-24-2015,17558,$693.75
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,05-28-2015,06-08-2015,06-10-2015,06-23-2015,06-25-2015,06-25-2015,07-01-2015,07-01-2015,17565,"$14,791.5"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2015,05-19-2015,06-08-2015,06-10-2015,06-22-2015,06-24-2015,06-24-2015,06-30-2015,06-30-2015,17567,"$22,349.7"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2015,05-19-2015,06-08-2015,06-10-2015,06-24-2015,06-25-2015,06-25-2015,07-01-2015,07-01-2015,17568,"$4,750"
Cherokee St (Hampson St - Freret St),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-14-2015,05-29-2015,06-03-2015,06-08-2015,06-08-2015,06-09-2015,06-09-2015,06-12-2015,06-12-2015,17515,"$3,432.95"
Cherokee St (Hampson St - Freret St),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-09-2015,05-29-2015,06-03-2015,06-08-2015,06-08-2015,06-09-2015,06-09-2015,06-12-2015,06-12-2015,17516,"$2,583.71"
Cartier Ave  (Mirabeau Ave - Filmore Ave),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2015,05-21-2015,06-02-2015,06-02-2015,06-05-2015,06-08-2015,06-08-2015,06-11-2015,06-11-2015,17496,"$121,519.25"
Cartier Ave  (Mirabeau Ave - Filmore Ave),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,05-26-2015,06-02-2015,06-02-2015,06-09-2015,06-16-2015,06-16-2015,06-18-2015,06-18-2015,17497,"$849,390.16"
Safe Routes to School,"Roubion Roads & Streets, L.L.C.",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-07-2015,05-07-2015,06-02-2015,06-05-2015,06-08-2015,06-08-2015,06-08-2015,06-17-2015,06-17-2015,17521,"$221,889.76"
Citywide Sign Replacement,Custom Products Corp,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-12-2015,05-26-2015,05-29-2015,05-29-2015,06-02-2015,06-03-2015,06-03-2015,06-10-2015,06-10-2015,17476,$544.8
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2015,05-20-2015,05-28-2015,05-28-2015,07-02-2015,07-06-2015,07-06-2015,07-08-2015,07-08-2015,17643,"$13,476.58"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-15-2015,05-27-2015,05-27-2015,05-29-2015,06-10-2015,06-10-2015,06-10-2015,06-24-2015,06-24-2015,17470,"$52,501.98"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-12-2015,05-19-2015,05-26-2015,05-28-2015,06-02-2015,06-02-2015,06-02-2015,06-10-2015,06-10-2015,17452,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-05-2015,05-19-2015,05-26-2015,05-28-2015,06-02-2015,06-02-2015,06-02-2015,06-10-2015,06-10-2015,17453,$682.59
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-05-2015,05-19-2015,05-26-2015,05-28-2015,06-02-2015,06-02-2015,06-02-2015,06-10-2015,06-10-2015,17454,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-06-2015,05-19-2015,05-26-2015,05-28-2015,06-02-2015,06-02-2015,06-02-2015,06-10-2015,06-10-2015,17455,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-07-2015,05-19-2015,05-26-2015,05-28-2015,06-02-2015,06-02-2015,06-02-2015,06-10-2015,06-10-2015,17456,"$1,730.44"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-08-2015,05-19-2015,05-26-2015,05-28-2015,06-02-2015,06-02-2015,06-02-2015,06-10-2015,06-10-2015,17457,"$2,163.05"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-12-2015,05-19-2015,05-26-2015,05-28-2015,06-02-2015,06-02-2015,06-02-2015,06-10-2015,06-10-2015,17458,"$6,581.9"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,S&WB,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-30-2013,05-20-2015,05-25-2015,05-26-2015,09-24-2015,09-24-2015,09-24-2015,09-28-2015,09-28-2015,18364,"$1,404.43"
Cherokee St (Hampson St - Freret St),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2015,04-22-2015,05-21-2015,05-22-2015,06-15-2015,06-16-2015,06-16-2015,06-18-2015,06-18-2015,17431,"$111,450.29"
Cartier Ave  (Mirabeau Ave - Filmore Ave),ILSI,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-28-2015,05-19-2015,05-20-2015,05-22-2015,05-28-2015,06-05-2015,06-05-2015,06-12-2015,06-12-2015,17218,"$5,814.8"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-06-2015,05-12-2015,05-20-2015,05-22-2015,05-28-2015,05-28-2015,05-28-2015,06-10-2015,06-10-2015,17423,$432.61
Cherokee St Phase II,Professional Engineering Consultants Corp.,Supervision,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-02-2015,05-05-2015,05-20-2015,05-29-2015,06-04-2015,06-05-2015,06-05-2015,06-12-2015,06-12-2015,17429,"$5,989.22"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-28-2015,05-08-2015,05-20-2015,05-27-2015,06-04-2015,06-05-2015,06-05-2015,06-11-2015,06-11-2015,17433,"$48,967.27"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Stratum Engineering, LLC",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-28-2015,04-30-2015,05-20-2015,05-27-2015,06-04-2015,06-05-2015,06-05-2015,06-11-2015,06-11-2015,17434,"$10,097"
Citywide Sign Replacement,Reece Supply of Louisiana,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-23-2015,05-07-2015,05-20-2015,05-22-2015,05-28-2015,05-28-2015,05-28-2015,06-03-2015,06-03-2015,17436,"$11,745"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-20-2015,05-06-2015,05-19-2015,05-20-2015,05-28-2015,05-28-2015,05-28-2015,06-10-2015,06-10-2015,17403,"$63,037.5"
Cherokee St (Hampson St - Freret St),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-14-2015,05-10-2015,05-19-2015,05-22-2015,05-28-2015,06-04-2015,06-04-2015,06-12-2015,06-12-2015,17419,"$3,546.75"
Cherokee St (Hampson St - Freret St),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-20-2014,05-29-2015,05-19-2015,05-22-2015,05-28-2015,05-29-2015,05-29-2015,06-12-2015,06-12-2015,17420,"$1,502.06"
Cherokee St (Hampson St - Freret St),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-17-2015,05-10-2015,05-19-2015,05-22-2015,05-28-2015,06-04-2015,06-04-2015,06-12-2015,06-12-2015,17421,$667.2
Cherokee St (Hampson St - Freret St),"Terracon Consultants, Inc",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-11-2015,05-10-2015,05-19-2015,05-22-2015,05-28-2015,06-04-2015,06-04-2015,06-12-2015,06-12-2015,17422,"$1,987.45"
Huntlee Dr. (General  DeGaulle - Berkley Dr),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,05-04-2015,05-19-2015,05-29-2015,06-08-2015,06-08-2015,06-08-2015,06-17-2015,06-17-2015,17424,"$2,212.5"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,05-08-2015,05-18-2015,05-20-2015,05-27-2015,05-28-2015,05-28-2015,06-03-2015,06-03-2015,17407,"$381,794"
Citywide Sign Replacement,Truck and Transportation Equipment Company,Supplies,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-14-2015,05-14-2015,05-15-2015,05-20-2015,05-29-2015,06-02-2015,06-02-2015,06-05-2015,06-05-2015,16613,"$1,180"
Canal Blvd. Reconstruction (Robert E. Lee Blvd - Amethyst St.),Integrated Logistical Support,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-28-2014,05-06-2015,05-13-2015,05-15-2015,05-22-2015,05-26-2015,05-26-2015,06-03-2015,06-03-2015,14205,"$98,401.82"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-16-2015,04-28-2015,05-11-2015,05-15-2015,05-20-2015,05-21-2015,05-21-2015,05-27-2015,05-27-2015,17382,$865.22
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-17-2015,04-28-2015,05-11-2015,05-15-2015,05-22-2015,05-22-2015,05-22-2015,06-03-2015,06-03-2015,17383,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-21-2015,04-28-2015,05-11-2015,05-19-2015,05-22-2015,05-22-2015,05-22-2015,06-03-2015,06-03-2015,17384,"$1,115.2"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-22-2015,04-28-2015,05-11-2015,05-19-2015,05-22-2015,05-22-2015,05-22-2015,06-03-2015,06-03-2015,17385,$962.01
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-27-2015,04-28-2015,05-11-2015,05-19-2015,05-22-2015,05-22-2015,05-22-2015,06-03-2015,06-03-2015,17386,"$3,028.27"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-27-2015,04-28-2015,05-11-2015,05-19-2015,05-22-2015,05-22-2015,05-22-2015,06-03-2015,06-03-2015,17387,"$1,365.18"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-23-2015,05-04-2015,05-11-2015,05-19-2015,05-22-2015,05-22-2015,05-22-2015,06-03-2015,06-03-2015,17388,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-23-2015,05-04-2015,05-11-2015,05-19-2015,05-22-2015,05-22-2015,05-22-2015,06-03-2015,06-03-2015,17389,$529.4
Cartier Ave  (Mirabeau Ave - Filmore Ave),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,04-30-2015,05-07-2015,05-11-2015,05-13-2015,05-13-2015,05-13-2015,05-15-2015,05-15-2015,17349,"$4,128"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-17-2015,04-28-2015,05-06-2015,05-08-2015,05-13-2015,05-13-2015,05-13-2015,05-27-2015,05-27-2015,17345,$529.4
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-15-2015,04-28-2015,05-06-2015,05-08-2015,05-19-2015,05-19-2015,05-19-2015,05-27-2015,05-27-2015,17346,$432.61
Magnolia Converted Ped Bridge,"Volkert, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-30-2015,04-30-2015,05-04-2015,05-06-2015,05-11-2015,05-11-2015,05-11-2015,05-21-2015,05-21-2015,17230,"$8,151"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-05-2015,04-15-2015,04-28-2015,05-05-2015,05-19-2015,05-19-2015,05-19-2015,05-27-2015,05-27-2015,17196,"$1,138.29"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-07-2015,04-15-2015,04-28-2015,05-05-2015,05-19-2015,05-19-2015,05-19-2015,05-27-2015,05-27-2015,17197,"$7,083.64"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-08-2015,04-15-2015,04-28-2015,05-05-2015,05-19-2015,05-19-2015,05-19-2015,05-27-2015,05-27-2015,17202,"$45,596.12"
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-01-2015,04-15-2015,04-27-2015,05-05-2015,05-13-2015,05-13-2015,05-13-2015,05-27-2015,05-27-2015,17207,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-15-2015,04-15-2015,04-27-2015,05-05-2015,05-13-2015,05-13-2015,05-13-2015,05-27-2015,05-27-2015,17208,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-02-2015,04-15-2015,04-27-2015,05-05-2015,05-13-2015,05-13-2015,05-13-2015,05-27-2015,05-27-2015,17209,$432.61
Street Light LED Conversion Project,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,03-31-2015,04-15-2015,04-27-2015,05-05-2015,05-13-2015,05-13-2015,05-13-2015,05-27-2015,05-27-2015,17210,$962.01
