Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14865,$797.73
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14866,$733.1
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14867,$570.84
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14868,$498.08
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14869,$461.09
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14870,$365.35
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14871,$281.59
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14873,$264.89
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14874,$206.24
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14875,$194.81
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14876,$122.71
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14877,$182.18
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14878,$117.08
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14879,$94.35
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14880,"$1,976.07"
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14881,"$1,895.4"
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14882,$908.43
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14883,$784.2
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14884,$654.26
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14885,$529.24
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14886,$515.63
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14887,$496.37
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14888,$411.08
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14889,$352.74
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14890,$146.16
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-13-2014,01-13-2014,14891,$119.51
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-09-2014,01-09-2014,01-09-2014,01-16-2014,01-16-2014,14892,$151.53
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14893,$105.82
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14894,$82.06
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14895,$117
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-07-2014,01-08-2014,01-08-2014,01-10-2014,01-10-2014,14896,$91.8
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-10-2014,01-10-2014,01-10-2014,01-16-2014,01-16-2014,14902,$42.12
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-10-2014,01-10-2014,01-10-2014,01-16-2014,01-16-2014,14903,$12.84
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-10-2014,01-10-2014,01-10-2014,01-16-2014,01-16-2014,14904,$30.69
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2013,07-31-2013,12-17-2013,12-17-2013,01-10-2014,01-10-2014,01-10-2014,01-16-2014,01-16-2014,14905,$29.74
Citywide Building Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2013,06-28-2013,12-17-2013,12-17-2013,01-10-2014,01-10-2014,01-10-2014,01-16-2014,01-16-2014,14906,$104.29
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-30-2013,08-30-2013,12-17-2013,12-17-2013,01-10-2014,01-10-2014,01-10-2014,01-16-2014,01-16-2014,14907,$62.74
Florida Avenue Transfer Station,"Burk-Kleinpeter, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,11-30-2013,12-16-2013,12-16-2013,12-27-2013,01-03-2014,01-03-2014,01-08-2014,01-08-2014,13211,"$4,612.13"
"Joseph Bartholomew Club House, Cart Storage, & Community Classroom",Southern Earth Sciences,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,11-30-2013,12-16-2013,12-17-2013,12-27-2013,01-03-2014,01-03-2014,01-08-2014,01-08-2014,13214,$195
Stallings St. Claude Community Center,Construction Masters,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,11-30-2013,12-16-2013,12-20-2013,02-13-2014,02-14-2014,02-14-2014,02-20-2014,02-20-2014,13614,"$12,964.44"
NOFD Engine 31 Alba Rd.,Devier Design Build,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,10-31-2013,12-13-2013,12-16-2013,01-02-2014,01-03-2014,01-03-2014,01-08-2014,01-08-2014,13203,"$58,380.19"
Gallier Hall Renovations,Imre Hegedus and Associated Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-19-2013,11-19-2013,12-13-2013,02-06-2014,02-14-2014,02-17-2014,02-17-2014,02-20-2014,02-20-2014,13204,"$25,304"
Hurricane Isaac: Debris Removal,"Metro Disposal, Inc.",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-22-2012,12-06-2013,12-12-2013,01-23-2014,01-30-2014,01-30-2014,01-30-2014,01-31-2014,01-31-2014,13185,"$21,557.4"
Florida Avenue Transfer Station,Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-23-2013,11-23-2013,12-12-2013,12-16-2013,01-02-2014,01-03-2014,01-03-2014,01-08-2014,01-08-2014,13191,"$271,972.08"
Public Safety & Courts PW Closeout Support,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,12-04-2013,12-12-2013,12-13-2013,01-02-2014,01-03-2014,01-03-2014,01-10-2014,01-10-2014,13192,"$1,687.5"
Public Safety & Courts PW Closeout Support,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,12-04-2013,12-12-2013,12-13-2013,01-02-2014,01-03-2014,01-03-2014,01-10-2014,01-10-2014,13193,"$4,310"
Public Safety & Courts PW Closeout Support,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,12-04-2013,12-12-2013,12-13-2013,01-02-2014,01-03-2014,01-03-2014,01-10-2014,01-10-2014,13194,$292.5
Public Safety & Courts PW Closeout Support,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,12-04-2013,12-12-2013,12-13-2013,02-14-2014,02-17-2014,02-17-2014,02-20-2014,02-20-2014,13195,$292.5
Public Safety & Courts PW Closeout Support,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,12-04-2013,12-12-2013,12-13-2013,01-02-2014,01-03-2014,01-03-2014,01-10-2014,01-10-2014,13196,"$3,357.5"
Public Safety & Courts PW Closeout Support,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,12-04-2013,12-12-2013,12-13-2013,01-02-2014,01-03-2014,01-03-2014,01-10-2014,01-10-2014,13197,"$5,586.25"
Main Public Library Sewer & Roof Repairs,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-06-2013,12-06-2013,12-11-2013,12-17-2013,01-03-2014,01-06-2014,01-06-2014,01-08-2014,01-08-2014,13183,"$24,701.94"
Criminal District Courts Phase II - Interior Renovations & Furnishings,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-06-2013,12-06-2013,12-11-2013,12-23-2013,01-07-2014,01-07-2014,01-07-2014,02-10-2014,02-10-2014,13186,"$1,676.06"
One Stop Shop,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-06-2013,12-06-2013,12-11-2013,12-23-2013,01-07-2014,01-09-2014,01-09-2014,01-14-2014,01-22-2014,13187,"$8,220"
One Stop Shop,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-06-2013,12-06-2013,12-11-2013,12-23-2013,01-07-2014,01-09-2014,01-09-2014,01-14-2014,01-22-2014,13188,"$11,330.89"
New Orleans Juvenile Justice Center (Youth Study Center),The McDonnel Group,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-30-2013,10-31-2013,12-10-2013,12-10-2013,12-12-2013,12-16-2013,12-16-2013,12-26-2013,12-26-2013,13161,"$16,258.3"
NOPD Third District Police Station,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-04-2013,12-05-2013,12-10-2013,12-10-2013,12-18-2013,12-19-2013,12-19-2013,01-02-2014,01-02-2014,13164,"$3,042.45"
New Orleans Museum of Art Storage Warehouse (Rendon St.),Construction Masters,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,11-30-2013,12-10-2013,12-17-2013,01-02-2014,01-03-2014,01-03-2014,01-16-2014,01-16-2014,13175,"$234,333.5"
NOPD Sixth District Police Station,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-07-2013,10-07-2013,12-10-2013,12-10-2013,12-18-2013,12-19-2013,12-19-2013,01-02-2014,01-02-2014,13176,"$17,776.4"
"Joseph Bartholomew Club House, Cart Storage, & Community Classroom",Icon Construction Group LLC,General Contractor,no,CDBG/City,06 Finance to Send to State,8 Paid,10 Paid,11-30-2013,11-30-2013,12-10-2013,12-17-2013,01-14-2014,01-21-2014,01-21-2014,01-24-2014,01-24-2014,13178,"$359,028.75"
NOPD Sixth District Police Station,Moses Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-20-2013,11-20-2013,12-10-2013,12-10-2013,12-18-2013,12-19-2013,12-19-2013,01-02-2014,01-02-2014,13233,"$10,478.72"
Di Benedetto Playground Enhancements,"Crescent Commercial Construction, LLC",General Contractor,no,CDBG/City,06 Finance to Send to State,8 Paid,10 Paid,11-30-2013,12-04-2013,12-09-2013,12-09-2013,12-23-2013,12-24-2013,12-24-2013,01-02-2014,01-02-2014,13151,"$48,636"
Main Public Library Sewer & Roof Repairs,"Crown Roofing Services, Inc.",,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,11-30-2013,12-06-2013,12-06-2013,12-11-2013,12-12-2013,12-12-2013,12-13-2013,12-13-2013,13134,"$46,908.27"
NOPD Temporary Police Stables,Commander Corporation,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,10-31-2013,12-06-2013,12-10-2013,01-27-2014,01-31-2014,01-31-2014,02-03-2014,02-03-2014,13138,"$48,860.11"
Milne Boys Home Phase I & II (NORD Build-out),"Battco Construction & Maintenance, Inc.",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-20-2013,11-20-2013,12-06-2013,12-09-2013,12-20-2013,12-23-2013,12-23-2013,01-02-2014,01-02-2014,13143,"$552,140.19"
Clerk of Criminal District Court JOCs,Safeway,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-16-2013,10-16-2013,12-05-2013,10-18-2013,12-06-2013,12-06-2013,12-06-2013,12-31-2013,12-31-2013,13119,"$14,868.61"
Clerk of Criminal District Court JOCs,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-20-2013,11-20-2013,12-05-2013,12-05-2013,12-06-2013,12-06-2013,12-06-2013,12-12-2013,12-12-2013,13120,"$32,557.23"
Clerk of Criminal District Court JOCs,Inwood Office Furniture,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-20-2013,09-20-2013,12-05-2013,12-05-2013,12-06-2013,12-06-2013,12-06-2013,12-31-2013,12-31-2013,13121,"$15,476.84"
Clerk of Criminal District Court JOCs,The HON Company,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-22-2013,10-22-2013,12-05-2013,12-10-2013,12-20-2013,12-20-2013,12-20-2013,02-10-2014,02-10-2014,13122,"$5,535.21"
Clerk of Criminal District Court JOCs,The HON Company,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-17-2013,09-17-2013,12-05-2013,12-10-2013,12-20-2013,12-20-2013,12-20-2013,02-10-2014,02-10-2014,13123,$650.49
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-29-2013,11-29-2013,12-05-2013,12-05-2013,12-13-2013,12-14-2013,12-14-2013,12-31-2013,12-31-2013,13128,"$202,715.75"
Citywide Building Repairs,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-03-2013,07-03-2013,12-05-2013,12-05-2013,12-06-2013,12-06-2013,12-06-2013,12-10-2013,12-10-2013,13139,"$3,030.57"
Citywide Building Repairs,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-03-2013,07-03-2013,12-05-2013,12-05-2013,12-06-2013,12-06-2013,12-06-2013,12-10-2013,12-10-2013,13141,"$1,751.9"
Citywide Building Repairs,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-30-2013,10-30-2013,12-05-2013,12-05-2013,12-06-2013,12-06-2013,12-06-2013,12-10-2013,12-10-2013,13142,"$1,458.9"
Rosenwald Center Phase II - Pool & Poolhouse,Vanir Construction Management,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2013,11-27-2013,12-04-2013,12-20-2013,01-08-2014,01-09-2014,01-09-2014,01-14-2014,01-22-2014,13110,"$12,175"
Cemeteries Phase I A - Site Improvements,"HMS Architects, APC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-15-2013,11-30-2013,12-04-2013,12-20-2013,01-08-2014,01-09-2014,01-09-2014,01-14-2014,01-22-2014,13117,"$2,265.61"
Stallings St. Claude Community Center,"Lee Ledbetter & Associates, APC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-04-2013,12-04-2013,12-04-2013,12-09-2013,12-10-2013,12-12-2013,12-12-2013,12-13-2013,12-13-2013,13118,"$10,998.91"
Gallier Hall HVAC Repairs,Kevin J. Smith Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,10-31-2013,11-26-2013,12-04-2013,12-06-2013,12-09-2013,12-09-2013,12-10-2013,12-10-2013,13074,"$47,262.5"
Cemeteries Phase I A - Site Improvements,"Crescent Commercial Construction, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,10-31-2013,11-26-2013,11-26-2013,12-03-2013,12-04-2013,12-04-2013,12-10-2013,12-10-2013,13075,"$113,240"
Cemeteries Phase I B - Cottages,Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-11-2013,11-11-2013,11-26-2013,11-26-2013,12-03-2013,12-04-2013,12-04-2013,12-10-2013,12-10-2013,13076,"$32,822.5"
St. Roch Park,"Crescent Commercial Construction, LLC",General Contractor,no,CDBG/City,06 Finance to Send to State,8 Paid,10 Paid,10-31-2013,10-31-2013,11-26-2013,12-02-2013,12-23-2013,12-23-2013,12-24-2013,01-02-2014,01-02-2014,13080,"$19,394.25"
New Orleans Museum of Art Storage Warehouse (Rendon St.),"Kenall, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2013,11-25-2013,11-26-2013,11-26-2013,12-03-2013,12-04-2013,12-04-2013,12-10-2013,12-10-2013,13106,"$1,971.1"
New Orleans Museum of Art Storage Warehouse (Rendon St.),"Kenall, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,11-25-2013,11-26-2013,11-26-2013,12-03-2013,12-04-2013,12-04-2013,12-10-2013,12-10-2013,13107,"$7,551.5"
Main Public Library Sewer & Roof Repairs,"Crown Roofing Services, Inc.",,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-21-2013,11-21-2013,11-25-2013,11-26-2013,12-09-2013,12-12-2013,12-12-2013,12-13-2013,12-13-2013,13072,"$217,616.76"
Easton Playground Concessions & Restroom Repairs,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-20-2013,11-20-2013,11-22-2013,11-25-2013,12-05-2013,12-06-2013,12-06-2013,12-10-2013,12-10-2013,13041,"$5,876.67"
Easton Playground Concessions & Restroom Repairs,FHP Tectonics Corp.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-20-2013,11-20-2013,11-22-2013,11-25-2013,12-05-2013,12-06-2013,12-06-2013,12-10-2013,12-10-2013,13049,"$5,350.08"
Oscar Medrano Clinic,"Crescent Commercial Construction, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-15-2013,11-18-2013,11-22-2013,11-25-2013,12-11-2013,12-12-2013,12-12-2013,12-13-2013,12-13-2013,13052,"$38,022.5"
Gallier Hall HVAC Repairs,"Grace & Hebert Architects, APAC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2013,11-22-2013,11-22-2013,11-22-2013,12-03-2013,12-04-2013,12-04-2013,12-10-2013,12-10-2013,13054,"$18,783"
Parks & Parkways Phase III - Multiple Buildings,"VergesRome Architects, APAC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-19-2013,11-19-2013,11-22-2013,11-22-2013,12-03-2013,12-04-2013,12-04-2013,12-10-2013,12-10-2013,13055,"$12,776.53"
Latter Library Renovations,"Crescent Commercial Construction, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,10-31-2013,11-20-2013,11-20-2013,11-26-2013,11-27-2013,11-27-2013,12-10-2013,12-10-2013,13073,"$282,527.4"
"Joseph Bartholomew Club House, Cart Storage, & Community Classroom",Southern Earth Sciences,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,10-31-2013,11-19-2013,01-13-2014,01-22-2014,01-23-2014,01-23-2014,01-31-2014,01-31-2014,13021,"$1,390"
NOPD Fifth District Police Station,Beta Testing & Inspection,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-12-2013,11-12-2013,11-15-2013,11-18-2013,11-20-2013,11-22-2013,11-22-2013,12-10-2013,12-10-2013,12994,"$1,001.5"
Stallings St. Claude Community Center,Construction Masters,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,11-07-2013,11-15-2013,11-18-2013,12-03-2013,12-13-2013,12-13-2013,12-06-2013,12-06-2013,13028,"$111,080.43"
Stallings St. Claude Community Center,Construction Masters,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2013,11-07-2013,11-15-2013,11-18-2013,12-03-2013,12-04-2013,12-04-2013,12-06-2013,12-06-2013,13105,"$10,916.45"
