Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-19-2015,05-19-2015,05-26-2015,06-02-2015,06-03-2015,06-18-2015,06-18-2015,07-01-2015,17445,$132.95
Recovery Program - Touro,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-25-2015,05-15-2015,05-26-2015,05-26-2015,07-09-2015,07-30-2015,07-30-2015,08-05-2015,17451,"$2,042.04"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-24-2015,05-12-2015,05-21-2015,05-22-2015,05-27-2015,06-18-2015,06-18-2015,06-24-2015,17430,"$46,425.08"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2014,05-20-2015,05-20-2015,05-27-2015,06-18-2015,07-06-2015,07-06-2015,07-08-2015,16308,"$135,925.76"
Recovery Program - Touro,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-21-2015,04-22-2015,05-20-2015,05-22-2015,05-27-2015,06-10-2015,06-10-2015,06-10-2015,17425,"$1,258.91"
Recovery Program - Touro,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,04-22-2015,05-20-2015,05-22-2015,05-27-2015,06-10-2015,06-10-2015,06-10-2015,17426,$916.26
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-02-2015,05-15-2015,05-19-2015,05-22-2015,05-27-2015,06-10-2015,06-10-2015,06-10-2015,17427,$949.54
"Recovery Program - Seventh Ward, Fairgrounds/Bayou St. John",Urban Systems,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-16-2015,05-14-2015,05-20-2015,05-26-2015,06-10-2015,06-10-2015,06-10-2015,17398,"$31,236.01"
"Recovery Program - Seventh Ward, Fairgrounds/Bayou St. John",Urban Systems,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-16-2015,05-14-2015,05-20-2015,05-27-2015,06-10-2015,06-10-2015,06-10-2015,17399,"$17,187.86"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,05-05-2015,05-13-2015,05-18-2015,05-21-2015,06-05-2015,06-05-2015,06-05-2015,17393,"$88,593.39"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,05-05-2015,05-13-2015,05-18-2015,06-03-2015,06-18-2015,06-18-2015,06-19-2015,17394,"$8,390.4"
Recovery Program - Gentilly Woods,Barowka & Bonura,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-30-2015,05-07-2015,05-12-2015,05-13-2015,06-01-2015,06-01-2015,06-01-2015,17348,"$18,903.98"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,04-10-2015,05-05-2015,05-07-2015,05-14-2015,05-19-2015,05-19-2015,05-21-2015,17233,"$106,389.02"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-20-2015,04-28-2015,05-05-2015,05-11-2015,05-26-2015,06-18-2015,06-18-2015,06-19-2015,17235,"$65,838.8"
Recovery Program - Holy Cross - Part 1,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,04-21-2015,05-05-2015,05-11-2015,05-12-2015,06-05-2015,06-05-2015,06-08-2015,17237,"$2,786"
Recovery Program - Holy Cross - Part 1,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-04-2015,04-22-2015,05-05-2015,05-11-2015,05-12-2015,06-05-2015,06-05-2015,06-05-2015,17238,"$2,133.8"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-21-2015,04-22-2015,05-05-2015,05-11-2015,05-19-2015,06-10-2015,06-10-2015,06-10-2015,17239,$343
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-05-2015,04-24-2015,04-29-2015,04-30-2015,05-07-2015,05-21-2015,05-21-2015,05-27-2015,17138,"$40,045.34"
Recovery Program - Filmore Quadrant 1,Professional Engineering Consultants Corp.,Supervision,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-13-2015,04-13-2015,04-24-2015,04-27-2015,05-06-2015,05-19-2015,05-19-2015,05-27-2015,17176,"$23,738.78"
Recovery Program - Lower Ninth Ward Quadrant 2,Neel-Schaffer Associates,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-29-2015,04-22-2015,04-24-2015,04-27-2015,05-06-2015,05-21-2015,05-21-2015,05-22-2015,17177,"$27,331.68"
Recovery Program - Lakeview Quadrant 1,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-04-2015,04-20-2015,04-23-2015,04-27-2015,05-06-2015,05-21-2015,05-21-2015,05-27-2015,17166,"$78,150.01"
"Recovery Program - BW Cooper, Dixon, Gert Town","CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-28-2015,04-20-2015,04-23-2015,04-24-2015,04-28-2015,05-19-2015,05-19-2015,05-27-2015,17167,"$55,195.15"
Recovery Program - Hollygrove and Leonidas,Waggoner Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,04-21-2015,04-23-2015,04-24-2015,05-04-2015,05-19-2015,05-19-2015,05-19-2015,17172,"$147,493.29"
Recovery Program - Hollygrove and Leonidas,Waggoner Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2014,04-07-2015,04-22-2015,04-23-2015,05-04-2015,05-19-2015,05-19-2015,05-20-2015,17158,"$10,615.35"
Recovery Program - Hollygrove and Leonidas,Waggoner Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,04-07-2015,04-22-2015,04-23-2015,05-04-2015,05-19-2015,05-19-2015,05-19-2015,17159,"$21,230.69"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-14-2015,04-21-2015,04-22-2015,04-28-2015,05-19-2015,05-19-2015,05-27-2015,17139,$261.38
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-14-2015,04-21-2015,04-22-2015,04-28-2015,05-19-2015,05-19-2015,05-27-2015,17141,"$5,987.2"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-14-2015,04-21-2015,04-22-2015,04-28-2015,05-19-2015,05-19-2015,05-27-2015,17144,"$1,994.19"
Recovery Program - Venetian Isles,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-02-2015,04-14-2015,04-28-2015,05-19-2015,06-05-2015,06-05-2015,06-05-2015,17100,"$186,025.87"
Recovery Program - West End,Atkins North America Inc.,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2015,04-01-2015,04-14-2015,04-21-2015,04-27-2015,05-19-2015,05-19-2015,05-20-2015,17102,"$53,785.65"
Recovery Program - Hollygrove and Leonidas,Waggoner Engineering,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-01-2014,04-07-2015,04-10-2015,04-14-2015,04-20-2015,05-19-2015,05-19-2015,05-20-2015,17082,"$16,415.15"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-07-2015,03-15-2015,04-09-2015,04-10-2015,04-22-2015,05-19-2015,05-19-2015,05-27-2015,17045,"$21,784.02"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-07-2015,03-15-2015,04-09-2015,04-10-2015,04-22-2015,05-19-2015,05-19-2015,05-27-2015,17068,"$12,537.15"
Recovery Program - Gentilly Terrace and Desire Area Development ,"APS Design & Testing, LLC",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-16-2015,03-27-2015,04-06-2015,04-14-2015,04-15-2015,05-08-2015,05-08-2015,05-08-2015,17039,"$62,886"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,02-28-2015,04-02-2015,04-07-2015,04-16-2015,05-20-2015,05-20-2015,05-21-2015,17010,"$25,371.84"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2014,03-30-2015,03-31-2015,03-31-2015,04-16-2015,05-19-2015,05-19-2015,05-20-2015,16960,"$22,639.83"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2014,03-30-2015,03-31-2015,03-31-2015,05-14-2015,06-05-2015,06-05-2015,06-05-2015,16961,"$34,861.2"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,03-16-2015,03-23-2015,03-26-2015,04-07-2015,04-29-2015,04-29-2015,05-01-2015,16915,"$789,255.06"
"Recovery Program - East Riverside, Garden District, Irish Channel, St. Thomas Dev",Integrated Logistical Support,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-17-2015,03-18-2015,03-23-2015,03-25-2015,04-14-2015,04-29-2015,04-29-2015,05-01-2015,16925,"$13,746.52"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,"Ardaman & Associates, Inc",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-16-2015,03-16-2015,03-20-2015,03-25-2015,04-10-2015,06-10-2015,06-10-2015,06-10-2015,16911,"$11,069.8"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Direct Mail Plus,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-17-2015,03-17-2015,03-19-2015,03-19-2015,03-25-2015,03-25-2015,03-25-2015,03-26-2015,16924,$513.84
Recovery Program - Central City,"Stratum Engineering, LLC",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-27-2015,02-27-2015,03-17-2015,03-26-2015,04-10-2015,05-08-2015,05-08-2015,05-08-2015,16837,"$23,357.72"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,03-16-2015,03-17-2015,03-23-2015,04-10-2015,04-29-2015,04-29-2015,05-04-2015,16839,"$2,102.29"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,03-16-2015,03-17-2015,03-23-2015,04-30-2015,04-29-2015,04-29-2015,05-01-2015,16841,"$8,224.16"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"Fugro Consultants, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-13-2015,03-11-2015,03-13-2015,03-16-2015,03-25-2015,04-17-2015,04-17-2015,04-22-2015,16737,"$27,849"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"Fugro Consultants, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-13-2015,03-11-2015,03-13-2015,03-13-2015,03-25-2015,04-17-2015,04-17-2015,04-22-2015,16799,"$14,915"
Recovery Program - East Carrollton/Black Pearl/Audubon/Uptown/West Riverside,"Fugro Consultants, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-23-2015,03-11-2015,03-13-2015,03-16-2015,03-25-2015,04-17-2015,04-17-2015,04-22-2015,16800,"$3,024.2"
Recovery Program - City Park,ECM Consultants,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,03-06-2015,03-13-2015,03-23-2015,04-09-2015,04-29-2015,04-29-2015,05-01-2015,16818,"$2,666.59"
Recovery Program - St. Bernard - SWB,ECM Consultants,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,03-06-2015,03-13-2015,03-23-2015,04-13-2015,04-29-2015,04-29-2015,05-01-2015,16820,"$4,955.41"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,02-23-2015,03-12-2015,03-13-2015,04-10-2015,04-29-2015,04-29-2015,05-01-2015,16788,"$67,755"
Recovery Program - Lower Ninth Ward Quadrant 1,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,03-06-2015,03-11-2015,03-12-2015,04-08-2015,04-29-2015,04-29-2015,05-01-2015,16783,"$27,626.3"
Recovery Program - Freret - SWB,Kyle Associates LLC,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-05-2015,03-05-2015,03-10-2015,03-11-2015,04-07-2015,04-29-2015,04-29-2015,05-01-2015,16732,"$6,343.82"
Recovery Program - Venetian Isles,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-01-2015,03-02-2015,03-09-2015,03-11-2015,04-07-2015,04-29-2015,04-29-2015,05-01-2015,16722,"$515,212.6"
Recovery Program - Venetian Isles,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-01-2015,03-02-2015,03-09-2015,03-11-2015,05-15-2015,06-15-2015,06-15-2015,06-24-2015,16726,"$4,947.6"
Recovery Program - St. Claude Phase II Group 1,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,02-05-2015,03-05-2015,03-09-2015,04-02-2015,04-17-2015,04-17-2015,04-20-2015,16425,"$365,305.6"
Recovery Program - Touro,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,03-02-2015,03-05-2015,03-09-2015,04-06-2015,05-19-2015,05-19-2015,05-19-2015,16707,"$1,502.91"
Recovery Program - Holy Cross - Part 2,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,03-03-2015,03-05-2015,03-11-2015,03-27-2015,04-17-2015,04-17-2015,04-20-2015,16721,"$1,080.8"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-27-2015,03-02-2015,03-04-2015,03-09-2015,03-13-2015,04-06-2015,04-06-2015,04-09-2015,16696,"$6,836.85"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-27-2015,03-02-2015,03-04-2015,03-09-2015,03-16-2015,03-23-2015,03-23-2015,05-08-2015,16697,$95.72
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-27-2015,03-02-2015,03-04-2015,03-09-2015,03-16-2015,04-06-2015,04-06-2015,04-08-2015,16698,"$21,844.99"
Recovery Program - Lower Ninth Ward Quadrant 3,Integrated Management Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,02-27-2015,03-04-2015,03-05-2015,03-19-2015,04-22-2015,04-22-2015,04-24-2015,16703,"$43,496.49"
Recovery Program - Gentilly Woods,Barowka & Bonura,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,02-25-2015,02-27-2015,03-10-2015,03-20-2015,04-22-2015,04-22-2015,04-24-2015,16672,"$22,684.77"
Recovery Program - Lakeview Quadrant 2,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-11-2015,02-11-2015,02-20-2015,03-02-2015,03-10-2015,04-22-2015,04-22-2015,04-30-2015,16634,"$21,846.33"
Recovery Program - St. Claude Phase II Group 1,HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-26-2014,02-23-2015,02-11-2015,02-12-2015,03-04-2015,03-13-2015,03-13-2015,03-19-2015,16595,"$5,472.32"
Recovery Program - St. Claude Phase II Group 1,HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-23-2015,02-06-2015,02-11-2015,02-12-2015,03-04-2015,04-22-2015,04-22-2015,04-30-2015,16596,"$3,221.74"
Recovery Program - Lower Garden District/CBD - SWB,"Burk-Kleinpeter, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,01-31-2015,02-09-2015,02-10-2015,03-05-2015,06-10-2015,06-10-2015,06-17-2015,16569,"$4,275"
"Recovery Program - East Riverside, Garden District, Irish Channel, St. Thomas Dev",Integrated Logistical Support,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-15-2014,01-23-2015,02-04-2015,12-04-2014,02-23-2015,03-13-2015,03-13-2015,05-26-2015,16088,"$35,851.83"
Recovery Program - Plum Orchard,"Pinnacle Engineering, LLC",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-15-2015,01-30-2015,02-04-2015,02-06-2015,02-18-2015,03-13-2015,03-13-2015,03-19-2015,16536,"$27,350.07"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-09-2015,01-28-2015,02-02-2015,02-03-2015,03-19-2015,04-17-2015,04-17-2015,04-22-2015,16510,"$5,010.3"
Recovery Program - Lower Ninth Ward Phase II (Deslonde and Flood),Barriere Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,01-20-2015,01-28-2015,02-04-2015,02-25-2015,03-24-2015,03-24-2015,03-26-2015,14238,"$299,150.05"
Recovery Program - Touro,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-03-2015,01-21-2015,01-26-2015,02-04-2015,02-19-2015,03-17-2015,03-17-2015,03-18-2015,16465,$954.65
Recovery Program - Lower Garden District/CBD - SWB,Direct Mail Plus,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-15-2015,01-15-2015,01-26-2015,01-26-2015,01-28-2015,01-29-2015,01-29-2015,01-30-2015,16471,$305
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2014,01-14-2015,01-23-2015,01-30-2015,02-04-2015,03-05-2015,03-05-2015,03-13-2015,16442,"$21,844.99"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-03-2015,01-22-2015,01-23-2015,01-28-2015,03-05-2015,03-10-2015,03-10-2015,03-13-2015,16443,"$281,490.68"
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2014,01-14-2015,01-23-2015,02-12-2015,03-03-2015,03-05-2015,03-05-2015,03-16-2015,16600,$95.72
Recovery Program - Algiers -McDonough-Behrman-Whitney-Old Aurora-Tall Timbers_Brechtel-Fischer-USNB,Richard C. Lambert,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2014,01-14-2015,01-23-2015,02-12-2015,03-04-2015,03-05-2015,03-05-2015,03-18-2015,16601,"$6,836.86"
Recovery Program - Holy Cross - Part 1,"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-29-2014,01-21-2015,01-22-2015,01-23-2015,03-27-2015,04-17-2015,04-17-2015,04-20-2015,16419,"$2,866"
Recovery Program - Venetian Isles,"ALL South Engineers, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2014,01-21-2015,01-22-2015,01-28-2015,02-04-2015,03-05-2015,03-05-2015,03-13-2015,16437,"$13,313.61"
Recovery Program - Central City,"C. H. Fenstermaker & Associates, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2014,01-15-2015,01-21-2015,01-27-2015,02-03-2015,03-17-2015,03-17-2015,03-18-2015,16429,"$1,545.83"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-06-2014,12-30-2014,01-20-2015,01-21-2015,02-06-2015,03-10-2015,03-10-2015,03-13-2015,16410,"$295,594.12"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-06-2014,12-30-2014,01-20-2015,01-21-2015,03-19-2015,06-05-2015,06-05-2015,06-10-2015,16411,"$16,817.85"
Recovery Program - Lower Ninth Ward Quadrant 2,Neel-Schaffer Associates,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2014,12-16-2014,01-15-2015,01-15-2015,01-23-2015,02-11-2015,02-11-2015,02-12-2015,16392,"$54,112.03"
