Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2013,08-29-2013,08-30-2013,08-30-2013,09-03-2013,10-09-2013,10-09-2013,10-09-2013,12283,"$25,243.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2013,08-29-2013,08-30-2013,08-30-2013,09-03-2013,10-09-2013,10-09-2013,10-09-2013,12284,"$25,243.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2013,08-29-2013,08-30-2013,08-30-2013,09-03-2013,10-09-2013,10-09-2013,10-09-2013,12285,"$25,243.5"
NOPD Fifth District Police Station,Construction Masters,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,07-31-2013,08-22-2013,08-22-2013,08-22-2013,09-05-2013,09-05-2013,09-05-2013,12224,"$370,691.66"
MTA East Range Repairs,"Crescent Commercial Construction, LLC",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-14-2013,08-14-2013,08-16-2013,08-22-2013,08-26-2013,09-26-2013,09-26-2013,09-26-2013,12183,"$28,264.83"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-12-2013,08-12-2013,08-14-2013,08-15-2013,08-15-2013,09-04-2013,09-04-2013,09-04-2013,12164,"$3,116.43"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-12-2013,08-12-2013,08-14-2013,08-15-2013,08-15-2013,09-05-2013,09-05-2013,09-05-2013,12165,$815.07
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,07-31-2013,08-12-2013,08-12-2013,08-13-2013,08-23-2013,08-23-2013,08-23-2013,12149,"$38,320"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12125,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12126,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12127,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12128,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12129,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12130,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12131,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12132,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-13-2013,08-23-2013,08-23-2013,08-26-2013,12133,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2013,08-09-2013,08-09-2013,08-09-2013,08-14-2013,08-23-2013,08-23-2013,08-26-2013,12134,"$23,446.5"
NOPD Police Vehicles,Headquarters 911,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-07-2013,08-08-2013,08-08-2013,08-26-2013,08-26-2013,08-26-2013,12113,"$22,756"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-02-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-19-2013,08-19-2013,08-19-2013,12070,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12071,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12072,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12073,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12074,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12075,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12076,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12077,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12078,"$23,446.5"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2013,08-01-2013,08-02-2013,08-02-2013,08-05-2013,08-15-2013,08-15-2013,08-15-2013,12079,"$23,446.5"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Express Pay/City,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,07-31-2013,08-02-2013,08-05-2013,08-07-2013,08-07-2013,08-07-2013,09-16-2013,12081,"$124,687.5"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Express Pay/Revolver,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2013,07-31-2013,08-02-2013,08-05-2013,08-16-2013,08-16-2013,08-16-2013,08-26-2013,12082,"$76,475"
NOFD Engine 31 Alba Rd.,Eustis Engineering,Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,07-23-2013,07-26-2013,07-26-2013,07-29-2013,09-04-2013,09-04-2013,09-04-2013,11991,$607.8
NOPD Fifth District Police Station,Construction Masters,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,07-23-2013,07-26-2013,07-29-2013,08-01-2013,08-19-2013,08-19-2013,08-19-2013,11992,"$281,188.82"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-18-2013,07-18-2013,07-22-2013,07-29-2013,07-29-2013,08-29-2013,08-29-2013,08-29-2013,11963,"$5,917.72"
MTA East Range Repairs,"Crescent Commercial Construction, LLC",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2013,07-10-2013,07-10-2013,07-11-2013,07-12-2013,09-05-2013,09-05-2013,09-05-2013,11880,"$31,721.4"
New Orleans Coroner's Complex,Professional Service Industries,Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-11-2013,07-31-2013,07-09-2013,07-09-2013,07-09-2013,07-18-2013,07-18-2013,07-23-2013,11856,"$43,086"
