Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date Sent to State,Date Sent to Hancock by State,Date Revolver Check Received,Record ID#,Invoice Amount
Parks & Parkways Phase IV - Greenhouse,"Materials Management Group, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-02-2012,10-02-2012,10-04-2012,10-04-2012,10-04-2012,10-04-2012,10-04-2012,10-08-2012,10-12-2012,10-15-2012,9207,"$1,779.62"
"NORD High Mast Lighting Group 5 (Daneel, Dauphine, FP Jackson & Larry Gilbert Playgrounds)",Frischhertz Electric Company,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-22-2012,03-22-2012,10-01-2012,10-02-2012,10-04-2012,10-04-2012,10-04-2012,10-10-2012,10-17-2012,10-22-2012,8086,"$2,250"
"NORD High Mast Lighting Group 5 (Daneel, Dauphine, FP Jackson & Larry Gilbert Playgrounds)",Frischhertz Electric Company,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-22-2012,03-22-2012,10-01-2012,10-02-2012,10-04-2012,10-04-2012,10-04-2012,10-09-2012,10-17-2012,10-22-2012,8087,"$11,497.5"
Stallings St. Claude Community Center,"Lee Ledbetter & Associates, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-25-2012,09-25-2012,10-01-2012,10-02-2012,10-02-2012,10-02-2012,10-02-2012,10-03-2012,10-05-2012,10-08-2012,9174,"$1,953"
Project Management - Hagerty,"Hagerty Consulting, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,08-31-2012,10-01-2012,10-01-2012,10-02-2012,10-02-2012,10-02-2012,10-03-2012,10-05-2012,10-08-2012,9183,"$179,939.37"
Project Management - Hagerty,"Hagerty Consulting, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2012,09-10-2012,10-01-2012,10-01-2012,10-02-2012,10-02-2012,10-02-2012,10-03-2012,10-05-2012,10-08-2012,9184,"$195,041.67"
"Joe W. Brown Park Lighting, Ball Fields, Shelters",FHP Tectonics Corp.,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-01-2012,09-01-2012,09-30-2012,10-18-2012,10-18-2012,10-18-2012,10-18-2012,10-19-2012,10-29-2012,10-29-2012,9314,"$1,315,210.38"
Oscar Medrano Clinic,"Crescent Commercial Construction, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-10-2012,09-10-2012,09-27-2012,10-05-2012,10-09-2012,10-09-2012,10-09-2012,10-10-2012,10-16-2012,10-22-2012,9165,"$83,695.5"
Wesley Barrow Stadium,Ryan Gootee General Contractors,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2012,08-31-2012,09-27-2012,10-01-2012,10-04-2012,10-04-2012,10-04-2012,10-08-2012,10-15-2012,10-15-2012,9167,"$91,710.62"
St. Roch Market,"Lee Ledbetter & Associates, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-25-2012,09-25-2012,09-27-2012,10-24-2012,10-24-2012,10-24-2012,10-24-2012,10-26-2012,11-01-2012,11-05-2012,9168,"$9,258.97"
Stallings St. Claude Community Center,"Lee Ledbetter & Associates, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-25-2012,09-25-2012,09-27-2012,10-01-2012,10-01-2012,10-02-2012,10-02-2012,10-03-2012,10-05-2012,10-08-2012,9169,"$6,693.86"
New Orleans Juvenile Justice Center (Youth Study Center),"Mathes Brierre Architects, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-14-2012,09-17-2012,09-19-2012,11-16-2012,11-19-2012,11-19-2012,11-19-2012,11-20-2012,12-11-2012,12-17-2012,9844,"$121,968.52"
Project Management - Hagerty,"Hagerty Consulting, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-27-2012,06-21-2012,09-18-2012,09-18-2012,09-18-2012,09-18-2012,09-18-2012,09-19-2012,10-02-2012,10-02-2012,9130,"$174,864.31"
Project Management - Hagerty,"Hagerty Consulting, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-25-2012,06-06-2012,09-18-2012,09-18-2012,09-18-2012,09-18-2012,09-18-2012,09-19-2012,10-02-2012,10-02-2012,9131,"$177,992.32"
Project Management - Hagerty,"Hagerty Consulting, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-29-2012,07-23-2012,09-18-2012,09-18-2012,09-18-2012,09-18-2012,09-18-2012,09-19-2012,10-02-2012,10-02-2012,9132,"$208,133.45"
Desire/Florida Multi-Service Center & Helen Levy Clinic Katrina Repairs,"St. Martin Brown & Associates, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-24-2012,08-24-2012,09-13-2012,09-14-2012,09-17-2012,09-17-2012,09-17-2012,09-18-2012,09-21-2012,09-24-2012,9118,"$8,499.82"
Pontchartrain Park Enhancements,Ryan Gootee General Contractors,General Contractor,no,Revolver/CDBG,10 Paid,6 Finance to Cut Check,10 Paid,Fully Paid,08-31-2012,08-31-2012,09-12-2012,09-14-2012,09-28-2012,10-01-2012,10-01-2012,10-03-2012,10-05-2012,10-08-2012,9116,"$9,515.46"
West End Park Katrina Repairs,M Natal,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2012,08-25-2012,09-12-2012,09-28-2012,10-02-2012,10-02-2012,10-02-2012,10-03-2012,10-05-2012,10-08-2012,9185,"$65,943.17"
Treme Center,Icon Construction Group LLC,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2012,08-31-2012,09-10-2012,09-10-2012,09-11-2012,09-11-2012,09-11-2012,09-13-2012,09-24-2012,09-24-2012,9082,"$216,322.71"
NOFD Engine 10 Morrison Rd.,Tuna Construction,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-09-2012,08-09-2012,09-10-2012,09-12-2012,09-12-2012,09-12-2012,09-12-2012,09-14-2012,09-20-2012,09-24-2012,9083,"$23,760"
Wesley Barrow Stadium,"SCNZ Architects, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-04-2012,09-04-2012,09-10-2012,10-10-2012,10-17-2012,10-17-2012,10-17-2012,10-18-2012,11-02-2012,11-05-2012,9084,"$4,020"
St. Roch Market,"Lee Ledbetter & Associates, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-04-2012,09-04-2012,09-10-2012,09-27-2012,09-28-2012,10-01-2012,10-01-2012,10-03-2012,10-05-2012,10-08-2012,9086,"$5,783.48"
St. Roch Market,"Lee Ledbetter & Associates, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-04-2012,09-04-2012,09-10-2012,09-27-2012,09-28-2012,10-01-2012,10-01-2012,10-03-2012,10-05-2012,10-08-2012,9087,$100
Treme Center,"Fugro Consultants, Inc.",Testing,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-26-2012,07-26-2012,09-10-2012,09-10-2012,09-12-2012,09-12-2012,09-12-2012,09-13-2012,09-20-2012,09-24-2012,9112,"$3,106.25"
Behrman Park Phase I - Football Stadium Repairs,"Bailey & Associates Architects, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2012,06-01-2012,09-10-2012,09-10-2012,09-12-2012,09-12-2012,09-12-2012,09-13-2012,09-20-2012,09-24-2012,9113,"$8,070.51"
Joe W. Brown Center,FHP Tectonics Corp.,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2012,08-01-2012,09-06-2012,09-07-2012,09-10-2012,09-10-2012,09-10-2012,09-12-2012,10-02-2012,10-02-2012,9063,"$494,403.75"
Wesley Barrow Stadium,"Crescent View, LLC",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-01-2012,05-01-2012,09-06-2012,09-06-2012,09-07-2012,09-07-2012,09-07-2012,09-11-2012,10-02-2012,10-02-2012,9066,$512
Wesley Barrow Stadium,"Crescent View, LLC",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-01-2012,04-01-2012,09-06-2012,09-06-2012,09-07-2012,09-07-2012,09-07-2012,09-11-2012,10-02-2012,10-02-2012,9076,$512
New Orleans Juvenile Justice Center (Youth Study Center),"Materials Management Group, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-23-2012,08-23-2012,09-06-2012,09-06-2012,09-07-2012,09-07-2012,09-07-2012,09-11-2012,09-17-2012,09-18-2012,9078,"$2,283.14"
Wesley Barrow Stadium,"Crescent View, LLC",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2012,06-01-2012,09-06-2012,09-06-2012,09-10-2012,09-10-2012,09-10-2012,09-12-2012,10-02-2012,10-02-2012,9080,$512
St. Roch Market,"The Lathan Company, Inc.",General Contractor,no,Revolver/CDBG,10 Paid,6 Finance to Cut Check,10 Paid,Fully Paid,08-31-2012,09-06-2012,09-06-2012,09-14-2012,09-21-2012,09-21-2012,09-21-2012,09-25-2012,10-02-2012,10-02-2012,9115,"$229,812.6"
Oliver Bush Playground,"VergesRome Architects, APAC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-22-2012,08-22-2012,09-05-2012,09-07-2012,09-10-2012,09-10-2012,09-10-2012,09-12-2012,10-02-2012,10-02-2012,9065,"$5,222.93"
NOPD Fifth District Police Station,Imre Hegedus and Associated Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-21-2012,08-21-2012,08-24-2012,08-24-2012,09-05-2012,09-05-2012,09-05-2012,09-07-2012,09-17-2012,09-18-2012,9060,"$1,315"
Kingswood Playground,FHP Tectonics Corp.,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-21-2012,08-21-2012,08-23-2012,09-04-2012,09-05-2012,09-05-2012,09-05-2012,09-07-2012,09-17-2012,09-18-2012,9052,"$3,666.76"
Oliver Bush Playground,"Crescent Commercial Construction, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-10-2012,08-10-2012,08-23-2012,08-24-2012,08-24-2012,09-04-2012,09-04-2012,09-05-2012,09-10-2012,09-10-2012,9053,"$371,774.52"
"NORD High Mast Lighting Group 5 (Daneel, Dauphine, FP Jackson & Larry Gilbert Playgrounds)",Frischhertz Electric Company,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2012,08-31-2012,08-23-2012,10-24-2012,10-24-2012,10-24-2012,10-24-2012,10-30-2012,11-02-2012,11-05-2012,9054,"$5,110"
Lyons Center,Wayne Troyer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-22-2012,08-22-2012,08-23-2012,08-24-2012,09-06-2012,09-06-2012,09-06-2012,09-07-2012,09-13-2012,09-18-2012,9057,"$12,983.59"
Latter Library HVAC Repairs,Concordia Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-17-2012,08-17-2012,08-22-2012,08-22-2012,08-22-2012,08-22-2012,08-22-2012,08-23-2012,09-05-2012,09-05-2012,9051,$533.86
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-14-2012,08-14-2012,08-20-2012,09-13-2012,09-14-2012,09-17-2012,09-17-2012,09-18-2012,09-17-2012,09-24-2012,9039,$873
"Joe W. Brown Park Lighting, Ball Fields, Shelters",ECM Consultants,Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2012,08-28-2012,08-13-2012,09-28-2012,10-02-2012,10-02-2012,10-02-2012,10-03-2012,10-05-2012,10-08-2012,9119,"$34,568.55"
Sanchez (Copelin-Byrd) Center,"Perez, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2012,06-30-2012,08-09-2012,10-01-2012,10-02-2012,10-02-2012,10-02-2012,10-03-2012,10-05-2012,10-08-2012,8940,"$21,574.47"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2012,06-08-2012,08-09-2012,08-09-2012,08-13-2012,08-13-2012,08-14-2012,08-16-2012,08-27-2012,08-27-2012,8971,"$561,825.33"
Pontchartrain Park Enhancements,Ryan Gootee General Contractors,General Contractor,no,Revolver/CDBG,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,07-31-2012,08-06-2012,08-10-2012,09-07-2012,09-07-2012,09-07-2012,09-11-2012,09-17-2012,09-18-2012,8928,"$148,348.84"
Wesley Barrow Stadium,Ryan Gootee General Contractors,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,07-31-2012,08-06-2012,08-10-2012,08-13-2012,08-13-2012,08-13-2012,08-16-2012,08-27-2012,08-27-2012,8929,"$136,027.82"
West End Park Katrina Repairs,M Natal,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-30-2012,07-25-2012,08-06-2012,08-06-2012,08-10-2012,08-13-2012,08-13-2012,08-16-2012,08-27-2012,08-27-2012,8962,"$18,497.38"
Municipal Auditorium Phase I C - Repairs,"N-Y Associates, Inc.",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,07-31-2012,08-03-2012,08-06-2012,08-06-2012,08-07-2012,08-07-2012,08-14-2012,08-20-2012,08-20-2012,8917,"$4,374.49"
Municipal Auditorium Phase I C - Repairs,"N-Y Associates, Inc.",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,07-31-2012,08-03-2012,08-06-2012,08-06-2012,08-07-2012,08-07-2012,08-14-2012,08-20-2012,08-20-2012,8918,$986.7
Desire/Florida Multi-Service Center & Helen Levy Clinic Katrina Repairs,"St. Martin Brown & Associates, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,07-20-2012,08-03-2012,08-03-2012,08-07-2012,08-07-2012,08-07-2012,08-14-2012,08-20-2012,08-20-2012,8931,"$31,874.32"
Kingswood Playground,Gordian Group,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2012,07-31-2012,08-01-2012,08-02-2012,08-03-2012,08-03-2012,08-06-2012,08-06-2012,08-10-2012,08-13-2012,8900,$183.34
"Joe W. Brown Park Lighting, Ball Fields, Shelters",FHP Tectonics Corp.,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2012,08-01-2012,08-01-2012,09-04-2012,09-06-2012,09-06-2012,09-06-2012,09-07-2012,09-17-2012,09-19-2012,9072,"$439,191.83"
PDU Software & Business Applications,Oracle Corporation,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-18-2012,07-18-2012,07-31-2012,07-31-2012,08-01-2012,08-01-2012,08-01-2012,08-03-2012,08-10-2012,08-13-2012,8899,$560.97
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2012,07-31-2012,07-31-2012,07-31-2012,10-02-2012,10-02-2012,10-02-2012,10-03-2012,10-08-2012,10-08-2012,9155,"$444,940.35"
"Joe W. Brown Park Lighting, Ball Fields, Shelters",ECM Consultants,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-25-2012,07-25-2012,07-30-2012,08-08-2012,08-10-2012,08-13-2012,08-13-2012,08-16-2012,08-27-2012,08-27-2012,8887,"$11,061.94"
"Joe W. Brown Park Lighting, Ball Fields, Shelters",FHP Tectonics Corp.,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-01-2012,07-01-2012,07-27-2012,08-01-2012,08-03-2012,08-03-2012,08-06-2012,08-06-2012,08-10-2012,08-13-2012,8884,"$347,842.44"
New Orleans Juvenile Justice Center (Youth Study Center),"Mathes Brierre Architects, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-07-2012,05-07-2012,07-26-2012,07-30-2012,08-02-2012,08-02-2012,08-02-2012,08-03-2012,08-10-2012,08-13-2012,8880,"$655,443.05"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2012,07-25-2012,07-25-2012,07-25-2012,10-02-2012,10-03-2012,10-03-2012,10-03-2012,10-05-2012,10-08-2012,9156,"$761,788.76"
NOFD Engine 31 Alba Rd.,Trapolin-Peer Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-17-2012,07-17-2012,07-24-2012,07-24-2012,07-25-2012,07-25-2012,07-25-2012,07-27-2012,08-02-2012,08-06-2012,8873,"$10,004.6"
NOFD Engine Nos. 22 and 39,Trapolin-Peer Architects,Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-17-2012,07-17-2012,07-24-2012,07-26-2012,07-26-2012,07-26-2012,07-27-2012,07-27-2012,08-03-2012,08-06-2012,8874,"$80,030.41"
Joe W. Brown Center,FHP Tectonics Corp.,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-01-2012,07-01-2012,07-23-2012,07-24-2012,07-25-2012,07-25-2012,07-25-2012,07-27-2012,08-02-2012,08-06-2012,8869,"$430,312"
Wesley Barrow Stadium,"SCNZ Architects, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-16-2012,07-16-2012,07-20-2012,07-24-2012,07-25-2012,07-25-2012,07-25-2012,07-27-2012,08-03-2012,08-06-2012,8866,"$17,006.04"
Oliver Bush Playground,"VergesRome Architects, APAC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-16-2012,07-16-2012,07-20-2012,07-24-2012,07-25-2012,07-25-2012,07-25-2012,07-27-2012,08-03-2012,08-06-2012,8867,"$10,772.3"
Parks & Parkways Phase III - Multiple Buildings,FHP Tectonics Corp.,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2012,06-30-2012,07-19-2012,07-20-2012,07-20-2012,07-23-2012,07-23-2012,07-24-2012,07-24-2012,08-06-2012,8858,"$10,850.84"
Behrman Park Phase II - Gym,FHP Tectonics Corp.,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2012,06-30-2012,07-19-2012,07-20-2012,07-20-2012,07-23-2012,07-23-2012,07-24-2012,07-26-2012,07-30-2012,8860,"$1,438.27"
Rosenwald Center Phase I - Gymnasium & Grounds,"WDG, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-18-2012,07-18-2012,07-18-2012,08-06-2012,08-06-2012,08-07-2012,08-07-2012,08-14-2012,08-20-2012,08-20-2012,8848,"$93,950"
NOFD Engine 26 S. Jefferson Davis Pkwy.,"Chenevert Architects, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2012,06-30-2012,07-13-2012,08-06-2012,08-08-2012,08-08-2012,08-08-2012,08-14-2012,08-20-2012,08-20-2012,8822,"$1,514.1"
Oliver Bush Playground,"Crescent Commercial Construction, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-27-2012,06-27-2012,07-11-2012,07-16-2012,07-16-2012,07-16-2012,07-17-2012,07-18-2012,07-26-2012,07-30-2012,8838,"$300,525.18"
Wesley Barrow Stadium,Ryan Gootee General Contractors,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2012,07-03-2012,07-09-2012,07-11-2012,07-11-2012,07-12-2012,07-12-2012,07-12-2012,07-18-2012,07-23-2012,8773,"$1,016,600.02"
Municipal Yacht Harbor Administration Building Katrina Repairs,Precision Construction and Maintenance,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-25-2012,07-06-2012,07-09-2012,07-18-2012,07-23-2012,07-23-2012,07-23-2012,07-24-2012,07-27-2012,07-30-2012,8775,"$37,169.13"
St. Roch Park,"Lee Ledbetter & Associates, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-05-2012,07-05-2012,07-09-2012,07-10-2012,07-10-2012,07-10-2012,07-10-2012,07-11-2012,07-18-2012,07-23-2012,8792,"$85,382.3"
PDU Software & Business Applications,DLT Solutions,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2012,06-30-2012,07-09-2012,07-09-2012,07-10-2012,07-10-2012,07-10-2012,07-11-2012,07-18-2012,07-23-2012,8804,"$3,574.7"
Behrman Park Phase II - Gym,Gordian Group,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-29-2012,06-29-2012,07-02-2012,07-09-2012,07-09-2012,07-09-2012,07-09-2012,07-10-2012,08-10-2012,08-13-2012,8737,"$1,199.94"
Behrman Park Phase II - Gym,Gordian Group,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-29-2012,06-29-2012,07-02-2012,07-09-2012,07-09-2012,07-09-2012,07-09-2012,07-10-2012,07-13-2012,07-17-2012,8738,$71.91
"Allie Mae Williams Multi-Service Center Phase I (Bldg B, D, E)","Crescent Commercial Construction, LLC",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-11-2012,06-11-2012,06-22-2012,06-22-2012,06-22-2012,06-25-2012,06-25-2012,06-27-2012,07-03-2012,07-09-2012,8684,"$38,918.14"
Joe W. Brown Center,FHP Tectonics Corp.,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2012,06-01-2012,06-22-2012,06-25-2012,06-25-2012,06-26-2012,06-26-2012,06-27-2012,07-03-2012,07-09-2012,8691,"$515,382.6"
Oliver Bush Playground,"VergesRome Architects, APAC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-14-2012,06-14-2012,06-21-2012,06-25-2012,06-26-2012,06-26-2012,06-26-2012,06-27-2012,07-03-2012,07-09-2012,8675,"$9,466.56"
Latter Library HVAC Repairs,Concordia Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-11-2012,06-11-2012,06-20-2012,08-22-2012,08-22-2012,08-22-2012,08-22-2012,08-23-2012,09-05-2012,09-05-2012,8669,$800.78
Latter Library Renovations,Concordia Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-11-2012,06-11-2012,06-20-2012,08-22-2012,08-22-2012,08-22-2012,08-22-2012,08-23-2012,09-05-2012,09-05-2012,8670,"$1,874.74"
"Joe W. Brown Park Lighting, Ball Fields, Shelters",FHP Tectonics Corp.,General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-30-2012,06-01-2012,06-20-2012,06-25-2012,06-26-2012,06-26-2012,06-26-2012,06-27-2012,07-03-2012,07-09-2012,8692,"$581,965.25"
